Proposta;Ano da proposta;IBGE;UF;Município;Nome da unidade;Componente;Porte;Situação no SISMOB;Data do repasse;Execução física (%) SISMOB;Data prevista de conclusão SISMOB;Dias sem monitoramento SISMOB;Data do último contato equipe PAC;Situação equipe PAC;Prioridade de contato;Ações;Quem fez o contato?;Data do contato;Execução informada pelo ente (%);Data/Previsão de conclusão informada pelo ente;Data/Previsão de inauguração informada pelo ente;Observações e problemas
10602526000124002;2024;251210;PB;Pombal;Centro de Atenção Psicossocial;Centro de Atenção Psicossocial;I;Em execução e conclusão;09/05/2025;43;04/01/2027;0;;Em execução e conclusão;Alta;;Bartolomeu Lima;10/09/2026;;;;
11162629000125005;2025;251250;PB;Queimadas;Nova Ubsf Guritiba;Unidade Básica de Saúde;I;Em início de execução;30/03/2026;10;30/06/2027;79;;Em início de execução;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;10/09/2026;;;;
11376311000125001;2025;251270;PB;Remígio;Centro de Atenção Psicossocial;Centro de Atenção Psicossocial;I;Em início de execução;01/04/2026;0;;125;;Em início de execução;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;10/09/2026;;;;
11565067000125002;2025;251275;PB;Riachão do Bacamarte;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em início de execução;06/04/2026;0;;21;;Em início de execução;Baixa;;;;;;;
12081925000124001;2024;251280;PB;Riacho dos Cavalos;Construção de Ubs;Unidade Básica de Saúde;I;Em início de execução;12/08/2025;29;30/07/2026;51;;Em execução, conclusão atrasada;Alta;"• Atualizar data de conclusão
• Atualizar SISMOB 1 vez por mês";Bartolomeu Lima;01/09/2026;;;;
10425754000124001;2024;251340;PB;Santa Luzia;Construção de Unidade Básica  de Saúde;Unidade Básica de Saúde;I;Em execução e conclusão;11/12/2024;78;31/10/2026;30;;Em execução e conclusão;Alta;;Bartolomeu Lima;11/09/2026;;;;
08694222000125004;2025;251370;PB;Santa Rita;Construção Centros de Atenção Psicossocial (Caps), No Município de Santa Rita/Pb.;Centro de Atenção Psicossocial;II;Obra paralisada;01/04/2026;0;;161;;Obra paralisada;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;11/09/2026;;;;
08694222000125005;2025;251370;PB;Santa Rita;Construção da Ubs No Bairro Jardins;Unidade Básica de Saúde;I;Em início de execução;06/04/2026;14;30/11/2026;58;;Em início de execução;Média;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;11/09/2026;;;;
02015756000124006;2024;251390;PB;São Bento;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em execução e conclusão;15/07/2025;30;19/05/2027;29;;Em execução e conclusão;Alta;;Bartolomeu Lima;11/09/2026;;;;
10398439000125001;2025;251398;PB;São Francisco;Ubs-Dr Joao Bosco Gadelha de Oliveira;Unidade Básica de Saúde;I;Em início de execução;28/04/2026;0;;31;;Em início de execução;Média;• Atualizar SISMOB 1 vez por mês;;;;;;
17648806000125001;2025;250070;PB;São João do Rio do Peixe;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em início de execução;06/04/2026;0;;135;;Em início de execução;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;11/09/2026;;;;
12899907000125001;2025;251410;PB;São João do Tigre;Unidade Básica de Saúde;Unidade Básica de Saúde;II;Em início de execução;27/04/2026;0;;176;;Em início de execução;Alta;• Atualizar SISMOB 1 vez por mês;;;;;;
10460712000124001;2024;251455;PB;São José de Princesa;Psf I Sao Jose de Princesa;Unidade Básica de Saúde;I;Em execução e conclusão;02/05/2025;76;31/12/2026;3;;Em execução e conclusão;Alta;;Bartolomeu Lima;11/09/2026;;;;
08036438000124007;2024;251530;PB;Sapé;Ubs José Kelton - Coqueiros;Unidade Básica de Saúde;I;Em início de execução;02/05/2025;0;;15;;Em início de execução;Alta;;Bartolomeu Lima;11/09/2026;;;;
08036438000124006;2024;251530;PB;Sapé;Ubs  José Franscico - Portal Ii;Unidade Básica de Saúde;I;Em início de execução;02/05/2025;0;;78;;Em início de execução;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;11/09/2026;;;;
05456092000124001;2024;251550;PB;Serra Branca;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em execução e conclusão;17/07/2025;49;31/12/2026;36;;Em execução e conclusão;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;11/09/2026;;;;
97519352000124001;2024;251580;PB;Serra Redonda;Construção de Ubs - Conjunto Mariz Ii;Unidade Básica de Saúde;I;Em início de execução;02/05/2025;0;;499;;Em início de execução;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;11/09/2026;;;;
13857317000125001;2025;251600;PB;Solânea;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em início de execução;06/04/2026;10;28/02/2027;3;;Em início de execução;Baixa;;;;;;;
11404679000124002;2024;251615;PB;Sossêgo;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em execução e conclusão;02/05/2025;30;31/12/2026;139;;Em execução e conclusão;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;11/09/2026;;;;
11907806000125002;2025;251640;PB;Tacima;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em início de execução;27/04/2026;0;;17;;Em início de execução;Baixa;;;;;;;
11229326000125005;2025;251670;PB;Teixeira;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em início de execução;24/04/2026;0;;1;;Em início de execução;Baixa;;;;;;;
11793042000124002;2024;251675;PB;Tenório;Ubs Zona Rural;Unidade Básica de Saúde;I;Em execução e conclusão;23/05/2025;80;31/10/2026;3;46203;Em execução e conclusão;Alta;;Bartolomeu Lima;11/09/2026;;;;
09494245000125001;2025;251700;PB;Umbuzeiro;Nova Ubs Mata Virgem;Unidade Básica de Saúde;I;Em início de execução;24/04/2026;30;30/03/2027;0;;Em início de execução;Baixa;"• Pedir superação de etapa 'Início de execução'
";;;;;;
14688620000125004;2025;251720;PB;Vieirópolis;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em início de execução;08/04/2026;0;;28;;Em início de execução;Baixa;;;;;;;
